mid_price_top,mid_price_mean,mid_price_mid,mid_price_market_top,mid_price_market_mean,mid_price_market_mid,book_imbalance_0.5_1sec,timestamp
37135500,37138350,37138500,37129041.00946373,37145397.59436336,37125385.3926097,154166645.06174776,2023-00-05/30/23 00:00:00
37137500,37144600,37145750,37137113.54961832,37159752.214169405,37140412.95681064,172378412.8740985,2023-00-05/30/23 00:00:01
37141000,37147750,37148250,37136934.265734255,37161274.305742785,37156482.46217331,148756764.74276304,2023-00-05/30/23 00:00:02
37141000,37146200,37146250,37136241.53166421,37144774.137509175,37153961.43203045,155952561.17919442,2023-00-05/30/23 00:00:03
37140000,37144200,37144250,37138376.25979843,37147825.20014059,37161194.487100735,158213629.53127286,2023-00-05/30/23 00:00:04
37136500,37134200,37133250,37126008.116883114,37143827.093362264,37133924.090235464,152050952.43543598,2023-00-05/30/23 00:00:05
37134500,37134600,37134000,37125866.55405405,37132510.79222397,37133218.21869336,171587786.5831679,2023-00-05/30/23 00:00:06
37134500,37136000,37135750,37125774.19354839,37131737.491226315,37158851.5506233,169177343.1646599,2023-00-05/30/23 00:00:07
37134500,37136000,37135750,37125866.55405405,37141243.97776405,37158851.5506233,163977265.6085266,2023-00-05/30/23 00:00:08
37132500,37128850,37125250,37125588.23529412,37133410.80064254,37122629.485935986,150498584.35300794,2023-00-05/30/23 00:00:09
37132500,37129400,37125250,37125588.23529412,37124968.99517022,37122629.485935986,166359278.02668425,2023-00-05/30/23 00:00:10
37131500,37127400,37122250,37126260.456273764,37124069.851028614,37115798.5645933,143862455.14145765,2023-00-05/30/23 00:00:11
37131500,37127400,37122250,37126260.456273764,37124069.851028614,37115798.5645933,143862455.14145765,2023-00-05/30/23 00:00:12
37132000,37127550,37125000,37133688.35098336,37125180.025925055,37113277.06323687,143411496.77540997,2023-00-05/30/23 00:00:13
37131000,37128550,37125750,37132160.0,37125351.59300549,37112149.29693962,152037387.0965425,2023-00-05/30/23 00:00:14
37131000,37128100,37125000,37129481.48148148,37124706.17782581,37121324.66063348,149588488.23324716,2023-00-05/30/23 00:00:15
37131000,37126450,37123500,37129299.49238579,37124206.11413043,37123655.918540515,151608043.7073348,2023-00-05/30/23 00:00:16
37131000,37126000,37123500,37126141.57014157,37122890.59073425,37123655.918540515,153280553.74623024,2023-00-05/30/23 00:00:17
37129000,37122750,37118500,37126309.859154925,37121042.122301236,37119720.60795708,117755783.24231532,2023-00-05/30/23 00:00:18
37128500,37122100,37118500,37125298.57819905,37116949.59219893,37119720.60795708,118511868.2035349,2023-00-05/30/23 00:00:19
37127500,37118000,37116500,37123473.684210524,37116821.988041356,37131717.88875898,123821114.38137469,2023-00-05/30/23 00:00:20
37125500,37111650,37112500,37123086.956521735,37115862.70061218,37109303.79746836,137105870.1341081,2023-00-05/30/23 00:00:21
37112000,37107400,37108750,37110361.56041865,37115426.79732556,37132028.796739325,176814409.11603937,2023-00-05/30/23 00:00:22
37111500,37107600,37111500,37121027.29044834,37112741.044911444,37121375.59808612,160815906.69183856,2023-00-05/30/23 00:00:23
37111500,37108400,37112500,37121027.29044834,37116899.78927755,37109303.79746836,172560339.14796084,2023-00-05/30/23 00:00:24
37109000,37103400,37103750,37100521.19309263,37102249.40022556,37122686.03888114,161945336.9594306,2023-00-05/30/23 00:00:25
37108000,37103450,37103250,37100659.38069217,37104443.0343565,37122923.70595177,165176114.71262208,2023-00-05/30/23 00:00:26
37108000,37103450,37103250,37100659.38069217,37102146.323080055,37122923.70595177,170227384.05502915,2023-00-05/30/23 00:00:27
37108000,37105150,37108000,37100659.38069217,37103941.707826264,37105552.40793201,157758990.5629808,2023-00-05/30/23 00:00:28
37108000,37105950,37108000,37100659.38069217,37104785.11270283,37105552.40793201,151432331.18763208,2023-00-05/30/23 00:00:29
37108000,37106900,37110250,37100659.38069217,37117953.69163372,37093768.87871853,152611620.2363171,2023-00-05/30/23 00:00:30
37108000,37109700,37110500,37100693.72693727,37115500.964831516,37116627.00763185,168872293.92981628,2023-00-05/30/23 00:00:31
37109000,37110750,37111000,37109278.92561984,37116552.3759885,37095987.58946247,165516056.04375616,2023-00-05/30/23 00:00:32
37109000,37110750,37111000,37109278.92561984,37116552.3759885,37095987.58946247,165516056.04375616,2023-00-05/30/23 00:00:33
37109000,37110750,37111000,37109278.92561984,37116552.3759885,37095987.58946247,165516056.04375616,2023-00-05/30/23 00:00:34
37114500,37121150,37119250,37102785.12396694,37136797.47505162,37134823.668950975,161957346.09537756,2023-00-05/30/23 00:00:35
37114500,37121150,37119250,37102785.12396694,37135848.1019044,37134823.668950975,158518917.37285164,2023-00-05/30/23 00:00:36
37115500,37121850,37119750,37118664.24322539,37136376.73824342,37115746.272777475,156632778.19665614,2023-00-05/30/23 00:00:37
37115500,37121850,37119750,37118664.24322539,37136376.73824342,37115746.272777475,156632778.19665614,2023-00-05/30/23 00:00:38
37130000,37139750,37143250,37118478.26086956,37154482.93496387,37149089.00655572,170095787.05802995,2023-00-05/30/23 00:00:39
37136000,37145250,37146750,37118340.49871023,37134398.19428571,37178110.98407192,143553248.0030355,2023-00-05/30/23 00:00:40
37136000,37143300,37144250,37118340.49871023,37129959.6710394,37177148.48736013,145972734.26370704,2023-00-05/30/23 00:00:41
37136000,37142150,37142500,37140239.49044586,37146258.42196486,37172898.56312008,174140094.55192608,2023-00-05/30/23 00:00:42
37136000,37140300,37139500,37140239.49044586,37154559.514236934,37160098.278734036,166405851.8033134,2023-00-05/30/23 00:00:43
37135000,37138200,37136750,37145203.04568528,37151377.68395658,37142594.82401656,152103661.2936211,2023-00-05/30/23 00:00:44
37134000,37135450,37133750,37146671.209000155,37133096.83323342,37110475.107066385,159466761.82905003,2023-00-05/30/23 00:00:45
37134000,37134250,37132750,37146343.01521438,37132664.378507316,37106806.739973105,153277557.45848387,2023-00-05/30/23 00:00:46
37134000,37132200,37131500,37132953.020134225,37130599.35767135,37102349.45883896,156372324.10057008,2023-00-05/30/23 00:00:47
37129000,37130400,37129000,37144337.673536256,37128788.55505705,37155208.19954578,189389629.23553917,2023-00-05/30/23 00:00:48
37129000,37130400,37129000,37144337.673536256,37128788.55505705,37155208.19954578,189389629.23553917,2023-00-05/30/23 00:00:49
37129000,37132000,37131750,37119974.57627119,37133321.52254251,37119523.97260274,159164096.72013372,2023-00-05/30/23 00:00:50
37129000,37132000,37131750,37119974.57627119,37133321.52254251,37119523.97260274,159164096.72013372,2023-00-05/30/23 00:00:51
37127000,37127850,37125500,37127359.99999999,37128787.91229562,37104092.4935289,142543390.41289508,2023-00-05/30/23 00:00:52
37127000,37127850,37125500,37127359.99999999,37128787.91229562,37104092.4935289,142543390.41289508,2023-00-05/30/23 00:00:53
37127500,37128250,37126500,37122153.61445783,37129188.02962908,37107558.835758835,138004247.2813175,2023-00-05/30/23 00:00:54
