price,total,transaction_date,type,units_traded
37130000,456699,2023-05-30 00:00:00,1,0.0123
37141000,1062232,2023-05-30 00:00:01,1,0.0286
37132000,133675,2023-05-30 00:00:01,1,0.0036
37125000,11137,2023-05-30 00:00:05,1,0.0003
37125000,115087,2023-05-30 00:00:11,1,0.0031
37136000,81699,2023-05-30 00:00:12,0,0.0022
37126000,2097619,2023-05-30 00:00:14,1,0.0565
37126000,81677,2023-05-30 00:00:15,1,0.0022
37136000,81699,2023-05-30 00:00:15,0,0.0022
37126000,924437,2023-05-30 00:00:16,1,0.0249
37126000,40838,2023-05-30 00:00:17,1,0.0011
37125000,40837,2023-05-30 00:00:17,1,0.0011
37125000,33412,2023-05-30 00:00:18,1,0.0009
37123000,170765,2023-05-30 00:00:18,1,0.0046
37132000,81690,2023-05-30 00:00:18,0,0.0022
37123000,37123,2023-05-30 00:00:20,1,0.001
37098000,44517,2023-05-30 00:00:20,1,0.0012
37126000,77964,2023-05-30 00:00:21,0,0.0021
37099000,712300,2023-05-30 00:00:21,1,0.0192
37124000,25986,2023-05-30 00:00:23,0,0.0007
37098000,1450531,2023-05-30 00:00:23,1,0.0391
37118000,7423,2023-05-30 00:00:25,0,0.0002
37118000,25982,2023-05-30 00:00:29,0,0.0007
37120000,9280000,2023-05-30 00:00:44,1,0.25
37120000,3467008,2023-05-30 00:00:45,1,0.0934
37114000,174435,2023-05-30 00:00:50,1,0.0047
37112000,4802292,2023-05-30 00:00:50,1,0.1294
37115000,705185,2023-05-30 00:01:00,1,0.019
37120000,18560,2023-05-30 00:01:00,1,0.0005
37116000,167022,2023-05-30 00:01:00,1,0.0045
37114000,1291567,2023-05-30 00:01:00,1,0.0348
37108000,3098518,2023-05-30 00:01:04,1,0.0835
37106000,1766245,2023-05-30 00:01:09,1,0.0476
37104000,857102,2023-05-30 00:01:09,1,0.0231
37115000,207844,2023-05-30 00:01:17,0,0.0056
37104000,1777281,2023-05-30 00:01:26,1,0.0479
37105000,979572,2023-05-30 00:01:26,1,0.0264
37103000,1213268,2023-05-30 00:01:26,1,0.0327
37111000,1005708,2023-05-30 00:01:31,0,0.0271
37106000,3450858,2023-05-30 00:01:33,0,0.09300000000000001
37101000,100172,2023-05-30 00:01:39,1,0.0027
37101000,396980,2023-05-30 00:01:41,0,0.0107
37101000,740396,2023-05-30 00:01:46,0,0.01995625
37101000,2594983,2023-05-30 00:01:52,0,0.06994375
37115000,55672,2023-05-30 00:01:53,0,0.0015
37100000,3164630,2023-05-30 00:01:58,1,0.0853
37068000,11120,2023-05-29 23:59:07,1,0.0003
37100000,3164630,2023-05-30 00:01:58,1,0.0853
37115000,55672,2023-05-30 00:02:00,0,0.0015
37113000,163297,2023-05-30 00:02:01,0,0.0044
37115000,656935,2023-05-30 00:02:01,0,0.0177
37115000,1183968,2023-05-30 00:02:05,1,0.0319
37157000,992091,2023-05-30 00:02:33,0,0.0267
37157000,100323,2023-05-30 00:02:33,0,0.0027
37155000,19999,2023-05-30 00:02:34,0,0.00053828
37134000,1522494,2023-05-30 00:02:36,1,0.040999999999999995
37134000,241371,2023-05-30 00:02:39,1,0.0065
37134000,29707,2023-05-30 00:02:41,1,0.0008
37134000,4185001,2023-05-30 00:02:42,1,0.1127
37126000,2097619,2023-05-30 00:00:14,1,0.0565
37134000,4185001,2023-05-30 00:02:42,1,0.1127
37143000,1322290,2023-05-30 00:03:00,0,0.0356
37151000,37151,2023-05-30 00:03:01,0,0.001
37134000,193096,2023-05-30 00:03:03,1,0.0052
37136000,167112,2023-05-30 00:03:04,1,0.0045
37134000,2358009,2023-05-30 00:03:04,1,0.0635
37159000,497930,2023-05-30 00:03:31,0,0.0134
37141000,2013042,2023-05-30 00:03:36,1,0.0542
37150000,4004770,2023-05-30 00:03:43,0,0.1078
37141000,51997,2023-05-30 00:03:43,1,0.0014
37145000,3001316,2023-05-30 00:03:49,1,0.0808
37145000,2120979,2023-05-30 00:03:49,1,0.0571
37163000,263857,2023-05-30 00:03:58,0,0.0071
37155000,1385881,2023-05-30 00:04:01,1,0.0373
37155000,2136412,2023-05-30 00:04:03,1,0.0575
37155000,3537156,2023-05-30 00:04:05,1,0.0952
37155000,847134,2023-05-30 00:04:07,1,0.0228
37155000,338110,2023-05-30 00:04:13,1,0.0091
37155000,1605096,2023-05-30 00:04:13,1,0.0432
37155000,352972,2023-05-30 00:04:16,1,0.0095
37155000,743100,2023-05-30 00:04:21,1,0.02
37112000,4802292,2023-05-30 00:00:50,1,0.1294
37155000,743100,2023-05-30 00:04:21,1,0.02
37152000,3388262,2023-05-30 00:04:28,0,0.0912
37145000,2611293,2023-05-30 00:04:32,1,0.0703
37156000,4912023,2023-05-30 00:04:33,1,0.1322
37156000,631652,2023-05-30 00:04:33,1,0.017
37145000,300874,2023-05-30 00:04:39,1,0.0081
37147000,898957,2023-05-30 00:04:46,1,0.0242
37167000,1029525,2023-05-30 00:04:55,1,0.0277
37158000,4087380,2023-05-30 00:05:02,0,0.11
37151000,743020,2023-05-30 00:05:35,1,0.02
37151000,1426598,2023-05-30 00:05:41,1,0.0384
37151000,1311430,2023-05-30 00:05:46,1,0.0353
37165000,1278476,2023-05-30 00:05:47,0,0.0344
37167000,761923,2023-05-30 00:05:47,0,0.0205
37168000,156105,2023-05-30 00:05:47,0,0.0042
37170000,888363,2023-05-30 00:05:47,0,0.0239
37153000,895387,2023-05-30 00:05:53,1,0.0241
37151000,245196,2023-05-30 00:05:55,1,0.0066
37151000,55726,2023-05-30 00:05:56,1,0.0015
37151000,3273003,2023-05-30 00:05:57,1,0.0881
37160000,3054552,2023-05-30 00:05:57,0,0.0822
37167000,260169,2023-05-30 00:06:00,0,0.006999999999999999
37150000,55725,2023-05-30 00:06:02,1,0.0015
37165000,464562,2023-05-30 00:06:02,1,0.0125
37165000,237856,2023-05-30 00:06:02,1,0.0064
37150000,338065,2023-05-30 00:06:04,1,0.0091
37160000,3801468,2023-05-30 00:06:27,0,0.1023
37157000,438452,2023-05-30 00:06:50,1,0.0118
37156000,1597708,2023-05-30 00:06:54,1,0.043
37156000,523899,2023-05-30 00:07:13,1,0.0141
37155000,2296179,2023-05-30 00:07:17,1,0.0618
37155000,1040340,2023-05-30 00:07:17,1,0.027999999999999997
37155000,1802017,2023-05-30 00:07:22,1,0.0485
37155000,10815820,2023-05-30 00:07:24,1,0.2911
37156000,1954405,2023-05-30 00:07:36,1,0.0526
37169000,1018430,2023-05-30 00:07:37,0,0.0274
37170000,319662,2023-05-30 00:07:37,0,0.0086
37168000,735926,2023-05-30 00:08:01,0,0.0198
37170000,185850,2023-05-30 00:08:01,0,0.005
37163000,3051082,2023-05-30 00:08:08,0,0.0821
37163000,237843,2023-05-30 00:08:10,1,0.0064
37163000,654068,2023-05-30 00:08:10,1,0.0176
37156000,219220,2023-05-30 00:08:12,1,0.0059
37156000,237798,2023-05-30 00:08:14,1,0.0064
37155000,1385881,2023-05-30 00:04:01,1,0.0373
37156000,237798,2023-05-30 00:08:14,1,0.0064
37156000,1519680,2023-05-30 00:08:16,1,0.0409
37163000,111489,2023-05-30 00:08:42,0,0.003
37163000,3716,2023-05-30 00:08:43,0,0.0001
37163000,74326,2023-05-30 00:08:45,0,0.002
37163000,22297,2023-05-30 00:08:46,0,0.0006
